,hh_id,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,weighted_sum,multi_poor,ind_id_count
174,904,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0,0.0555555555555555,0.0,4
175,905,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,1
177,907,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
178,908,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,5
179,910,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
180,911,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
181,912,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
182,913,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
183,914,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
184,915,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,1
185,916,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
186,917,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
187,918,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
188,919,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,2
189,920,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0,0.0555555555555555,0.0,1
190,921,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
191,923,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0.0555555555555555,0.0,5
192,924,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
194,1002,0.0,1.0,1.0,0.0,0,0,0,0.0,0,0,0.3333333333333333,1.0,5
195,1003,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
196,1004,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,16
197,1005,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.1666666666666666,0.0,3
198,1006,0.0,1.0,0.0,0.0,0,0,0,1.0,0,0,0.2222222222222222,0.0,5
199,1007,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
200,1008,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,7
202,1010,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
203,1011,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
204,1013,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
205,1014,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,2
206,1015,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,6
207,1016,0.0,0.0,0.0,0.0,0,1,1,0.0,0,0,0.1111111111111111,0.0,1
208,1017,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
209,1018,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
210,1019,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,1
211,1020,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
212,1021,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
213,1022,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
214,1023,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
215,1024,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
216,1101,0.0,1.0,0.0,0.0,0,1,0,0.0,0,0,0.2222222222222222,0.0,6
217,1102,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,3
218,1103,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,5
219,1105,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,4
220,1106,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,0.0555555555555555,0.0,6
221,1107,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0,0.1111111111111111,0.0,6
